gene,expression,patient,sample,oncoGene
G72,7.914866861858295,unknown,S78,FALSE
G39,9.116980582502336,unknown,S78,FALSE
G37,10.084213001274993,unknown,S78,FALSE
G93,8.52846625345365,unknown,S78,FALSE
G33,7.383366785029445,unknown,S78,FALSE
G18,7.62557751088748,unknown,S78,FALSE
G114,7.822196977908278,unknown,S78,FALSE
G103,7.106889880402912,unknown,S78,FALSE
G48,8.911820745072687,unknown,S78,FALSE
G110,9.15029795775924,unknown,S78,TRUE
G38,7.4657116415088245,unknown,S78,FALSE
G68,6.956289386857959,unknown,S78,TRUE
G11,8.480588898587468,unknown,S78,FALSE
G84,7.306396032140149,unknown,S78,FALSE
G106,8.609199922167763,unknown,S78,FALSE
G78,8.022805715869525,unknown,S78,FALSE
G16,9.959635449730374,unknown,S78,TRUE
G102,7.689799289827662,unknown,S78,FALSE
G65,6.76166860013762,unknown,S78,FALSE
G46,5.967811089605277,unknown,S78,FALSE
G94,8.33715189430939,unknown,S78,FALSE
G69,8.48365352857002,unknown,S78,FALSE
G116,7.245208082127738,unknown,S78,FALSE
G67,7.872614964124069,unknown,S78,FALSE
G87,7.509586830299149,unknown,S78,FALSE
G89,7.775117083879878,unknown,S78,FALSE
G42,7.6025744375957185,unknown,S78,FALSE
G49,8.621685135704594,unknown,S78,FALSE
G34,9.250274409580028,unknown,S78,FALSE
G50,7.7601232323473965,unknown,S78,FALSE
G8,7.3896912142412035,unknown,S78,FALSE
G79,8.272546585929028,unknown,S78,TRUE
G112,7.644149484337839,unknown,S78,TRUE
G109,8.449020668732828,unknown,S78,TRUE
G92,6.221736084838247,unknown,S78,FALSE
G58,9.437654510833063,unknown,S78,FALSE
G7,7.337787842371589,unknown,S78,TRUE
G101,8.235033262885832,unknown,S78,FALSE
G77,7.8658723829050485,unknown,S78,FALSE
G31,6.9347649886176495,unknown,S78,FALSE
G9,7.386223526727588,unknown,S78,FALSE
G64,6.7017892602384,unknown,S78,FALSE
G35,7.175241016442687,unknown,S78,FALSE
G98,8.37878497965793,unknown,S78,FALSE
G113,8.96287618807157,unknown,S78,FALSE
G22,6.241583167018509,unknown,S78,FALSE
G25,9.039155279055922,unknown,S78,FALSE
G2,8.513922850944944,unknown,S78,FALSE
G32,6.946380648524178,unknown,S78,FALSE
G81,7.886175358342938,unknown,S78,FALSE
G15,6.927472337232384,unknown,S78,FALSE
G51,7.424533038030095,unknown,S78,FALSE
G44,7.857699209935635,unknown,S78,FALSE
G20,9.449633679472292,unknown,S78,FALSE
G95,6.869263070973368,unknown,S78,FALSE
G111,9.42856807487257,unknown,S78,TRUE
G62,9.577033539382267,unknown,S78,FALSE
G70,9.926725994402673,unknown,S78,FALSE
G24,6.463545031983355,unknown,S78,FALSE
G96,8.340273488918752,unknown,S78,FALSE
G56,7.534247512580269,unknown,S78,FALSE
G115,5.653983420378504,unknown,S78,FALSE
G36,8.430441942317483,unknown,S78,FALSE
G47,8.430874109533342,unknown,S78,FALSE
G17,7.563848030152945,unknown,S78,FALSE
G19,8.107152038352247,unknown,S78,TRUE
G57,8.812388238582098,unknown,S78,FALSE
G60,7.313477990559532,unknown,S78,FALSE
G26,8.531186117958445,unknown,S78,FALSE
G27,7.331625996368999,unknown,S78,FALSE
G91,5.92425528102014,unknown,S78,FALSE
G3,8.973690762685282,unknown,S78,FALSE
G75,8.704515018467845,unknown,S78,FALSE
G45,7.555632722994009,unknown,S78,FALSE
G104,9.9072251485952,unknown,S78,FALSE
G10,7.37956362879879,unknown,S78,FALSE
G83,7.720522115212731,unknown,S78,FALSE
G74,8.07501756620989,unknown,S78,FALSE
G53,9.710888681713985,unknown,S78,FALSE
G100,7.6478951886686275,unknown,S78,FALSE
G54,8.30046162256613,unknown,S78,FALSE
G99,7.358957727128959,unknown,S78,FALSE
G55,7.727630491212189,unknown,S78,FALSE
G59,8.479669296979509,unknown,S78,FALSE
G86,6.364390367542927,unknown,S78,FALSE
G1,7.142877224506716,unknown,S78,FALSE
G52,8.427435860017813,unknown,S78,FALSE
G12,9.276226613873197,unknown,S78,FALSE
G105,6.046920378280701,unknown,S78,FALSE
G73,8.33691998276851,unknown,S78,FALSE
G29,8.771124705500831,unknown,S78,FALSE
G76,8.520174474829929,unknown,S78,FALSE
G85,8.347025835596494,unknown,S78,FALSE
G21,7.503996491926468,unknown,S78,FALSE
G23,7.507053661614964,unknown,S78,TRUE
G13,7.790492670629708,unknown,S78,FALSE
G4,8.557354264695817,unknown,S78,FALSE
G90,7.4299363695202025,unknown,S78,TRUE
G82,9.216124126569252,unknown,S78,FALSE
G30,10.404836208043326,unknown,S51,TRUE
G40,8.537595893376519,unknown,S51,FALSE
G71,12.63220800311214,unknown,S51,TRUE
G28,7.347264507489493,unknown,S51,FALSE
G108,7.39527232760805,unknown,S51,FALSE
G97,8.139373066587462,unknown,S51,FALSE
G5,8.123575666024621,unknown,S51,FALSE
G66,9.65589358072131,unknown,S51,FALSE
G88,7.93307681363606,unknown,S51,FALSE
G6,7.34821383167182,unknown,S51,FALSE
G107,9.022045235349838,unknown,S51,FALSE
G61,7.964448634651566,unknown,S51,FALSE
G80,8.10369432673174,unknown,S51,FALSE
G14,7.9259151394990255,unknown,S51,FALSE
G63,8.602036126412507,unknown,S51,FALSE
G43,9.817003670883107,unknown,S51,TRUE
G41,9.141110095861903,unknown,S51,FALSE
G72,7.359466202695842,unknown,S51,FALSE
G39,7.118550252851503,unknown,S51,FALSE
G37,8.424744700744775,unknown,S51,FALSE
G93,7.821127706722492,unknown,S51,FALSE
G33,8.001649420133328,unknown,S51,FALSE
G18,7.972746563881273,unknown,S51,FALSE
G114,7.199036818866377,unknown,S51,FALSE
G103,7.059505188499064,unknown,S51,FALSE
G48,6.963723114521137,unknown,S51,FALSE
G110,9.537573766187867,unknown,S51,TRUE
G38,8.70750752728596,unknown,S51,FALSE
G68,10.36276218902692,unknown,S51,TRUE
G11,7.324541210335991,unknown,S51,FALSE
G84,7.641905503547304,unknown,S51,FALSE
G106,7.97584933963451,unknown,S51,FALSE
G78,6.658912989507373,unknown,S51,FALSE
G16,11.304540847587713,unknown,S51,TRUE
G102,7.030334434987402,unknown,S51,FALSE
G65,9.551462913997069,unknown,S51,FALSE
G46,7.955618015344285,unknown,S51,FALSE
G94,5.6895051694571785,unknown,S51,FALSE
G69,6.75700601538383,unknown,S51,FALSE
G116,9.361177041309134,unknown,S51,FALSE
G67,7.118442054730328,unknown,S51,FALSE
G87,7.1020402568775856,unknown,S51,FALSE
G89,7.4108736118887,unknown,S51,FALSE
G42,8.102486396565983,unknown,S51,FALSE
G49,9.682783132218029,unknown,S51,FALSE
G34,8.78011742685477,unknown,S51,FALSE
G50,7.943615962498074,unknown,S51,FALSE
G8,5.784207610804156,unknown,S51,FALSE
G79,5.402775424904068,unknown,S51,TRUE
G112,7.588899137011772,unknown,S51,TRUE
G109,11.898880953029693,unknown,S51,TRUE
G92,7.908765254096914,unknown,S51,FALSE
G58,8.81962361914744,unknown,S51,FALSE
G7,3.848227259560299,unknown,S51,TRUE
G101,7.341794013364327,unknown,S51,FALSE
G77,7.137206082629768,unknown,S51,FALSE
G31,9.185931334853086,unknown,S51,FALSE
G9,8.487864265927083,unknown,S51,FALSE
G64,10.73806180470102,unknown,S51,FALSE
G35,8.110283854056263,unknown,S51,FALSE
G98,7.121846105694038,unknown,S51,FALSE
G113,7.120480678125329,unknown,S51,FALSE
G22,5.674647239377056,unknown,S51,FALSE
G25,4.923072829523841,unknown,S51,FALSE
G2,8.890984248288888,unknown,S51,FALSE
G32,8.811953641493748,unknown,S51,FALSE
G81,7.653544736363432,unknown,S51,FALSE
G15,7.922438973588677,unknown,S51,FALSE
G51,9.3900303173562,unknown,S51,FALSE
G44,8.58554406964623,unknown,S51,FALSE
G20,8.207774305753027,unknown,S51,FALSE
G95,6.8600522905000805,unknown,S51,FALSE
G111,6.793988363135855,unknown,S51,TRUE
G62,6.593901051948109,unknown,S51,FALSE
G70,8.613960282992593,unknown,S51,FALSE
G24,9.605133396278276,unknown,S51,FALSE
G96,7.8827785337946565,unknown,S51,FALSE
G56,6.527307867116262,unknown,S51,FALSE
G115,7.301727740276756,unknown,S51,FALSE
G36,6.459321685223755,unknown,S51,FALSE
G47,7.063239923715764,unknown,S51,FALSE
G17,8.990526783592228,unknown,S51,FALSE
G19,11.305847274719003,unknown,S51,TRUE
G57,8.403025325586675,unknown,S51,FALSE
G60,8.663861617959789,unknown,S51,FALSE
G26,7.144197595308113,unknown,S51,FALSE
G27,8.600009061660215,unknown,S51,FALSE
G91,7.425983569991146,unknown,S51,FALSE
G3,7.783647910285872,unknown,S51,FALSE
G75,7.9113763569567075,unknown,S51,FALSE
G45,6.444189403277289,unknown,S51,FALSE
G104,6.2452368285178474,unknown,S51,FALSE
G10,8.183378783306575,unknown,S51,FALSE
G83,5.791562957426188,unknown,S51,FALSE
G74,6.632249340824153,unknown,S51,FALSE
G53,6.488474239689357,unknown,S51,FALSE
G100,8.096252509133334,unknown,S51,FALSE
G54,6.54188665348228,unknown,S51,FALSE
G99,8.731758176574617,unknown,S51,FALSE
G55,10.244442734098238,unknown,S51,FALSE
G59,9.189782111150063,unknown,S51,FALSE
G86,8.813854574995442,unknown,S51,FALSE
G1,8.229821578337848,unknown,S51,FALSE
G52,7.4584557222720935,unknown,S51,FALSE
G12,8.7599256524034,unknown,S51,FALSE
G105,5.858674371456892,unknown,S51,FALSE
G73,7.6850526500992205,unknown,S51,FALSE
G29,9.2521660457432091,unknown,S51,FALSE
G76,8.423260651950702,unknown,S51,FALSE
G85,9.255569432973866,unknown,S51,FALSE
G21,8.568911687912719,unknown,S51,FALSE
G23,12.14754951994178,unknown,S51,TRUE
G13,9.038687838762456,unknown,S51,FALSE
G4,8.945941821934793,unknown,S51,FALSE
G90,8.601967477387232,unknown,S51,TRUE
G82,8.468854925687486,unknown,S51,FALSE
G30,7.916262183109194,healthy,S83,TRUE
G40,8.010778311578692,healthy,S83,FALSE
G71,8.569443848629994,healthy,S83,TRUE
G28,6.081232511362962,healthy,S83,FALSE
G108,8.291976544662932,healthy,S83,FALSE
G97,9.40022461566275,healthy,S83,FALSE
G5,7.102577050210441,healthy,S83,FALSE
G66,8.872172175671595,healthy,S83,FALSE
G88,8.759885950084039,healthy,S83,FALSE
G6,7.090944431585682,healthy,S83,FALSE
G107,8.027088495761586,healthy,S83,FALSE
G61,6.552465153646427,healthy,S83,FALSE
G80,6.920801516650924,healthy,S83,FALSE
G14,8.429220812070795,healthy,S83,FALSE
G63,7.731481390828171,healthy,S83,FALSE
G43,6.969402261634108,healthy,S83,TRUE
G41,8.008119774334086,healthy,S83,FALSE
G72,7.466970036494818,healthy,S83,FALSE
G39,8.57896220437257,healthy,S83,FALSE
G37,7.848855078107044,healthy,S83,FALSE
G93,9.424796616090314,healthy,S83,FALSE
G33,10.097468930183815,healthy,S83,FALSE
G18,8.011446746375135,healthy,S83,FALSE
G114,7.082698420034396,healthy,S83,FALSE
G103,8.26586921374895,healthy,S83,FALSE
